time,user_load,user_power,elec_price,pv_power
Day 1 00:00,0.64,0.44,0.66,0.44
Day 1 00:10,0.33,0.31,0.62,0.13
Day 1 00:20,0.73,0.66,0.31,0.32
Day 1 00:30,0.61,0.63,0.56,0.14
Day 1 00:40,0.26,0.81,0.59,0.81
Day 1 00:50,0.87,0.72,0.44,0.33
Day 1 01:00,0.08,0.56,0.67,0.17
Day 1 01:10,0.91,0.18,0.69,0.21
Day 1 01:20,0.45,0.45,0.33,0.26
Day 1 01:30,0.61,0.76,0.35,0.36
Day 1 01:40,0.01,0.45,0.48,0.81
Day 1 01:50,0.04,0.16,0.31,0.64
Day 1 02:00,0.61,0.46,0.46,0.28
Day 1 02:10,0.11,0.49,0.46,0.98
Day 1 02:20,0.66,0.67,0.63,0.53
Day 1 02:30,0.7,0.85,0.6,0.08
Day 1 02:40,0.18,0.06,0.59,0.4
Day 1 02:50,0.57,0.3,0.56,0.4
Day 1 03:00,0.27,0.21,0.63,0.23
Day 1 03:10,0.83,0.13,0.44,0.84
Day 1 03:20,0.75,0.94,0.32,0.36
Day 1 03:30,0.82,0.58,0.47,0.26
Day 1 03:40,0.31,0.19,0.46,0.14
Day 1 03:50,0.94,0.98,0.56,0.14
Day 1 04:00,0.03,0.87,0.48,0.97
Day 1 04:10,0.57,0.37,0.69,0.86
Day 1 04:20,0.34,0.29,0.57,0.46
Day 1 04:30,0.54,0.58,0.5,0.44
Day 1 04:40,0.74,0.44,0.45,0.39
Day 1 04:50,0.09,0.47,0.5,0.39
Day 1 05:00,0.77,0.94,0.68,0.07
Day 1 05:10,0.94,0.58,0.53,0.31
Day 1 05:20,0.78,0.77,0.43,0.6
Day 1 05:30,0.02,0.96,0.68,0.05
Day 1 05:40,0.08,0.1,0.53,0.05
Day 1 05:50,0.84,1.0,0.5,0.7
Day 1 06:00,0.56,0.97,0.64,0.07
Day 1 06:10,0.35,0.86,0.41,0.72
Day 1 06:20,0.68,0.11,0.44,0.23
Day 1 06:30,0.82,0.15,0.49,0.19
Day 1 06:40,0.61,0.13,0.69,0.7
Day 1 06:50,0.02,0.47,0.36,0.08
Day 1 07:00,0.46,0.87,0.68,0.75
Day 1 07:10,0.22,0.88,0.65,0.75
Day 1 07:20,0.35,0.02,0.41,0.58
Day 1 07:30,0.33,0.78,0.64,0.37
Day 1 07:40,0.39,0.21,0.66,0.14
Day 1 07:50,0.7,0.31,0.65,0.45
Day 1 08:00,0.03,0.26,0.48,0.1
Day 1 08:10,0.13,0.91,0.53,0.77
Day 1 08:20,0.36,0.42,0.41,0.44
Day 1 08:30,0.74,0.98,0.34,0.48
Day 1 08:40,0.1,0.29,0.53,0.45
Day 1 08:50,0.27,0.36,0.63,0.52
Day 1 09:00,0.16,0.23,0.49,0.14
Day 1 09:10,0.62,0.31,0.43,0.52
Day 1 09:20,0.56,0.21,0.51,0.97
Day 1 09:30,0.49,0.3,0.34,0.8
Day 1 09:40,0.08,0.74,0.52,0.21
Day 1 09:50,0.79,0.53,0.4,0.95
Day 1 10:00,0.75,0.98,0.38,0.5
Day 1 10:10,0.67,0.53,0.34,0.24
Day 1 10:20,0.84,0.73,0.62,0.89
Day 1 10:30,0.42,0.26,0.61,0.13
Day 1 10:40,0.31,0.96,0.59,0.36
Day 1 10:50,0.54,0.68,0.64,0.0
Day 1 11:00,0.62,0.19,0.62,0.86
Day 1 11:10,0.57,0.61,0.58,0.05
Day 1 11:20,0.71,0.04,0.38,0.15
Day 1 11:30,0.17,0.34,0.63,0.83
Day 1 11:40,0.43,0.51,0.69,0.92
Day 1 11:50,0.5,0.61,0.65,0.76
Day 1 12:00,0.14,0.45,0.61,0.21
Day 1 12:10,0.5,0.12,0.56,0.76
Day 1 12:20,0.48,0.08,0.44,0.31
Day 1 12:30,0.58,0.66,0.41,0.34
Day 1 12:40,0.31,0.64,0.51,0.64
Day 1 12:50,0.28,0.52,0.56,0.39
Day 1 13:00,0.14,0.11,0.32,0.07
Day 1 13:10,0.13,0.32,0.49,0.27
Day 1 13:20,0.99,0.92,0.32,0.63
Day 1 13:30,0.66,0.27,0.31,0.9
Day 1 13:40,0.99,0.97,0.34,0.39
Day 1 13:50,0.26,0.38,0.66,0.13
Day 1 14:00,0.31,0.41,0.37,0.03
Day 1 14:10,0.3,0.03,0.51,0.83
Day 1 14:20,0.15,0.22,0.47,0.53
Day 1 14:30,0.63,0.65,0.54,0.04
Day 1 14:40,0.96,0.56,0.63,0.15
Day 1 14:50,0.46,0.78,0.36,0.43
Day 1 15:00,0.26,0.06,0.5,0.64
Day 1 15:10,0.37,0.06,0.33,0.52
Day 1 15:20,0.05,0.37,0.69,0.9
Day 1 15:30,0.35,0.72,0.33,0.58
Day 1 15:40,0.79,0.49,0.38,0.84
Day 1 15:50,0.7,0.65,0.48,0.83
Day 1 16:00,0.01,0.0,0.48,0.59
Day 1 16:10,0.04,0.82,0.35,0.44
Day 1 16:20,0.61,0.62,0.57,0.3
Day 1 16:30,0.19,0.67,0.46,0.31
Day 1 16:40,0.83,0.86,0.67,0.61
Day 1 16:50,0.97,0.81,0.41,0.73
Day 1 17:00,0.65,0.12,0.33,0.72
Day 1 17:10,0.68,0.28,0.68,0.18
Day 1 17:20,0.8,0.56,0.31,0.56
Day 1 17:30,0.32,0.95,0.51,0.36
Day 1 17:40,0.93,0.26,0.42,0.45
Day 1 17:50,0.91,0.3,0.65,0.95
Day 1 18:00,0.42,0.79,0.36,1.0
Day 1 18:10,0.94,0.06,0.4,0.52
Day 1 18:20,0.45,0.74,0.58,0.92
Day 1 18:30,0.52,0.29,0.51,0.45
Day 1 18:40,0.96,0.67,0.43,0.61
Day 1 18:50,0.63,0.34,0.4,0.76
Day 1 19:00,0.33,0.48,0.48,0.25
Day 1 19:10,0.19,0.64,0.51,0.12
Day 1 19:20,0.95,0.04,0.67,0.52
Day 1 19:30,0.32,0.42,0.46,0.21
Day 1 19:40,0.4,0.88,0.35,0.99
Day 1 19:50,0.37,0.75,0.67,0.6
Day 1 20:00,0.43,0.21,0.62,0.66
Day 1 20:10,0.39,0.73,0.58,0.26
Day 1 20:20,0.94,0.79,0.32,0.11
Day 1 20:30,0.67,0.01,0.53,0.82
Day 1 20:40,0.26,0.9,0.45,0.94
Day 1 20:50,0.93,0.53,0.4,0.37
Day 1 21:00,0.61,0.64,0.66,0.1
Day 1 21:10,0.45,0.47,0.6,0.89
Day 1 21:20,0.36,0.27,0.62,0.37
Day 1 21:30,0.51,0.73,0.38,0.3
Day 1 21:40,0.94,1.0,0.35,0.74
Day 1 21:50,0.18,0.59,0.67,0.44
Day 1 22:00,0.38,0.05,0.58,0.11
Day 1 22:10,0.45,0.6,0.31,0.29
Day 1 22:20,0.92,0.42,0.42,0.64
Day 1 22:30,0.83,0.95,0.51,0.62
Day 1 22:40,0.78,0.45,0.35,0.5
Day 1 22:50,0.13,0.99,0.53,0.76
Day 1 23:00,0.38,0.9,0.42,0.94
Day 1 23:10,0.93,0.04,0.43,0.94
Day 1 23:20,0.41,0.63,0.48,0.86
Day 1 23:30,0.61,0.26,0.4,0.05
Day 1 23:40,0.25,0.21,0.6,0.7
Day 1 23:50,0.33,0.61,0.52,0.84
Day 2 00:00,0.95,0.35,0.62,0.52
Day 2 00:10,0.04,0.82,0.34,0.97
Day 2 00:20,0.85,0.15,0.64,0.89
Day 2 00:30,0.73,0.46,0.53,0.11
Day 2 00:40,0.64,0.35,0.68,0.7
Day 2 00:50,0.86,0.35,0.6,0.15
Day 2 01:00,0.23,0.71,0.65,0.52
Day 2 01:10,0.89,0.78,0.48,0.51
Day 2 01:20,0.7,0.12,0.42,0.16
Day 2 01:30,0.79,0.46,0.53,0.45
Day 2 01:40,0.5,0.27,0.54,0.5
Day 2 01:50,0.88,0.02,0.53,0.3
Day 2 02:00,0.59,0.46,0.39,0.01
Day 2 02:10,0.12,0.51,0.54,0.99
Day 2 02:20,0.21,0.44,0.31,0.37
Day 2 02:30,0.34,0.96,0.35,0.97
Day 2 02:40,0.43,0.98,0.5,0.1
Day 2 02:50,0.03,0.55,0.47,0.53
Day 2 03:00,0.54,0.74,0.3,0.96
Day 2 03:10,0.75,0.24,0.54,0.56
Day 2 03:20,0.78,0.98,0.68,0.38
Day 2 03:30,0.37,0.28,0.38,0.05
Day 2 03:40,0.4,0.31,0.56,0.44
Day 2 03:50,0.85,0.5,0.43,0.0
Day 2 04:00,0.32,0.58,0.56,0.98
Day 2 04:10,0.18,0.51,0.64,0.2
Day 2 04:20,0.42,0.16,0.64,0.39
Day 2 04:30,0.01,0.06,0.56,0.42
Day 2 04:40,0.48,0.09,0.47,0.08
Day 2 04:50,0.52,0.86,0.48,0.96
Day 2 05:00,0.58,0.81,0.61,0.75
Day 2 05:10,0.34,0.04,0.33,0.79
Day 2 05:20,0.95,0.38,0.56,0.88
Day 2 05:30,0.65,0.78,0.55,0.31
Day 2 05:40,0.54,0.35,0.35,0.56
Day 2 05:50,0.36,0.5,0.58,0.98
Day 2 06:00,0.72,0.72,0.41,0.53
Day 2 06:10,0.18,0.26,0.66,0.54
Day 2 06:20,0.77,0.21,0.63,0.42
Day 2 06:30,0.94,0.78,0.48,0.77
Day 2 06:40,0.69,0.79,0.59,0.13
Day 2 06:50,0.16,0.54,0.51,0.37
Day 2 07:00,0.7,0.83,0.56,0.33
Day 2 07:10,0.96,0.5,0.56,0.15
Day 2 07:20,0.88,0.54,0.57,0.55
Day 2 07:30,0.94,0.5,0.65,0.15
Day 2 07:40,0.82,0.12,0.68,0.71
Day 2 07:50,0.34,0.68,0.7,0.9
Day 2 08:00,0.59,0.42,0.5,0.56
Day 2 08:10,0.53,0.97,0.31,0.98
Day 2 08:20,0.1,0.96,0.45,0.1
Day 2 08:30,0.92,0.08,0.32,0.64
Day 2 08:40,0.49,0.67,0.49,0.47
Day 2 08:50,0.64,0.07,0.5,0.78
Day 2 09:00,0.82,0.78,0.31,0.56
Day 2 09:10,0.42,0.55,0.32,0.45
Day 2 09:20,0.79,0.68,0.6,0.31
Day 2 09:30,0.06,0.35,0.45,0.78
Day 2 09:40,0.41,0.75,0.38,0.79
Day 2 09:50,0.98,0.92,0.68,0.58
Day 2 10:00,0.98,0.2,0.43,0.95
Day 2 10:10,0.84,0.29,0.36,0.84
Day 2 10:20,0.41,0.85,0.32,0.32
Day 2 10:30,0.7,0.26,0.34,0.77
Day 2 10:40,0.94,0.16,0.39,0.08
Day 2 10:50,0.66,0.14,0.41,0.63
Day 2 11:00,0.6,0.51,0.69,0.87
Day 2 11:10,0.33,0.06,0.37,0.43
Day 2 11:20,0.53,0.73,0.41,0.28
Day 2 11:30,0.11,0.5,0.31,0.64
Day 2 11:40,0.18,0.43,0.66,0.26
Day 2 11:50,0.8,0.25,0.64,0.87
Day 2 12:00,0.29,0.16,0.35,0.87
Day 2 12:10,0.78,0.25,0.58,0.76
Day 2 12:20,0.85,0.41,0.5,0.83
Day 2 12:30,0.7,0.52,0.64,0.45
Day 2 12:40,0.8,0.35,0.62,0.52
Day 2 12:50,0.72,0.51,0.68,0.91
Day 2 13:00,0.86,0.26,0.49,0.83
Day 2 13:10,0.08,0.53,0.43,0.33
Day 2 13:20,0.27,0.36,0.53,0.29
Day 2 13:30,0.95,0.05,0.56,0.9
Day 2 13:40,0.17,0.8,0.38,0.14
Day 2 13:50,0.5,0.85,0.43,0.78
Day 2 14:00,0.86,0.53,0.56,0.2
Day 2 14:10,0.64,0.09,0.36,0.69
Day 2 14:20,0.17,0.03,0.58,0.06
Day 2 14:30,0.05,0.98,0.49,0.76
Day 2 14:40,0.99,0.79,0.51,0.38
Day 2 14:50,0.65,0.67,0.42,0.96
Day 2 15:00,0.38,0.2,0.46,0.6
Day 2 15:10,0.65,0.38,0.36,0.99
Day 2 15:20,0.06,0.14,0.53,0.62
Day 2 15:30,0.63,0.83,0.67,0.71
Day 2 15:40,0.84,0.45,0.41,0.78
Day 2 15:50,0.32,0.99,0.53,0.32
Day 2 16:00,0.3,0.5,0.46,0.46
Day 2 16:10,0.35,0.42,0.57,0.24
Day 2 16:20,0.12,0.28,0.59,0.51
Day 2 16:30,0.59,0.76,0.47,0.01
Day 2 16:40,0.62,0.62,0.53,0.35
Day 2 16:50,0.6,0.79,0.41,0.91
Day 2 17:00,0.64,0.12,0.44,0.72
Day 2 17:10,0.42,0.14,0.57,0.93
Day 2 17:20,0.49,0.5,0.4,0.84
Day 2 17:30,0.04,0.53,0.43,0.94
Day 2 17:40,0.46,0.39,0.38,0.54
Day 2 17:50,0.59,0.34,0.38,0.38
Day 2 18:00,0.03,0.2,0.53,0.09
Day 2 18:10,0.81,0.03,0.33,0.2
Day 2 18:20,0.07,0.82,0.67,0.68
